job_title,level,min_salary,max_salary,min_exp,max_exp,job_description,soft_skill,hard_skill,interest,education,job_category,job_id
Blockchain Developer,Mid,65000,100000,2,6,Transportation,Problem Solving|Technical Understanding|Communication|Analytical Thinking|Research|Attention to Detail,Cryptography|Contract Negotiation|Solidity|JavaScript|Cryptography|Authentication Systems,Blockchain Technology|Cryptocurrency|Distributed Systems|Cybersecurity|Finance,Bachelor's in Computer Science|Bachelor's in Software Engineering|Master's in Information Technology,Technology,68.0
Industrial Designer,Mid,50000,80000,3,7,Transportation,Creativity|Technical Understanding|Problem Solving|Communication|Attention to Detail|Adaptability,3D Modeling|3D Modeling|Prototyping|Solidity|Manufacturing Processes|Sketch,Product Development|Technology|Workplace Training|Sustainable Design|Design,Bachelor's in Industrial Design|Bachelor's in Product Design|Bachelor's in Engineering,Creative,69.0
Real Estate Analyst,Mid,50000,80000,2,5,Transportation,Analytical Thinking|Communication|Research|Problem Solving|Attention to Detail|Negotiation,Real Estate Valuation|Financial Modeling|Market Analysis|Property Management|Budgeting|Investment Analysis,Investment|Investment|Market Analysis|Business Planning|Financial Analysis,Bachelor's in Real Estate|Bachelor's in Finance|Bachelor's in Business Administration,Business,70.0
Mobile Game Developer,Mid,55000,85000,2,6,Transportation,Creativity|Problem Solving|Technical Understanding|Communication|Attention to Detail|Adaptability,Solidity|C#|UI Design|Motion Graphics|Portfolio Management|Conversion Rate Optimization,Game Development|Mobile Gaming|User Experience|Economics|Game Design,Bachelor's in Game Development|Bachelor's in Computer Science|Bachelor's in Interactive Media,Technology,71.0
Business Intelligence Analyst,Mid,55000,85000,3,7,Transportation,Analytical Thinking|Communication|Problem Solving|Attention to Detail|Critical Thinking|Technical Understanding,SQL|Tableau|Power BI|Data Modeling|ETL|Business Analysis,Enterprise Analytics|Data Analysis|Decision Support|Data Visualization|Enterprise Analytics,Bachelor's in Business Intelligence|Bachelor's in Computer Science|Bachelor's in Information Systems,Business,73.0
Ethical Hacker,Senior,70000,110000,4,8,Transportation,Problem Solving|Analytical Thinking|Attention to Detail|Communication|Critical Thinking|Technical Understanding|Adaptability,Penetration Testing|Vulnerability Assessment|Network Security|Security Monitoring|Malware Analysis|Social Engineering,Cybersecurity|Security|Network Security|Digital Forensics|Risk Management,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Bachelor's in Information Security,Technology,74.0
Event Planner,Mid,40000,65000,2,5,Transportation,Communication|Organization|Creativity|Problem Solving|Adaptability|Time Management,Operations Management|Budgeting|Vendor Management|Content Marketing|Contract Negotiation|Logistics,Database Management|Marketing|Marketing|Customer Service|Project Management,Bachelor's in Event Management|Bachelor's in Hospitality Management|Bachelor's in Communications,Creative,75.0
Management Consultant,Senior,75000,120000,5,10,Transportation,Strategic Thinking|Communication|Analytical Thinking|Problem Solving|Leadership|Decision Making|Research,Business Analysis|Process Improvement|Strategic Planning|Change Management|Stakeholder Management|Financial Analysis,Business Strategy|Organizational Development|Operations Management|Process Optimization|Leadership Development,Master's in Business Administration|Bachelor's in Business Administration|Master's in Management,Business,76.0
Quantum Computing Researcher,Senior,85000,130000,5,10,Transportation,Analytical Thinking|Problem Solving|Research|Technical Understanding|Communication|Creativity|Critical Thinking,AI Algorithms|Programming|C++|Solidity|Reinforcement Learning|Data Modeling,Quantum Computing|Physics|Computational Science|Mathematics|Research,PhD in Physics|PhD in Computer Science|Master's in Computational Science,Technology,77.0
Sound Designer,Mid,45000,70000,2,5,Transportation,Creativity|Technical Understanding|Communication|Attention to Detail|Problem Solving|Adaptability,Video Editing|Sound Design|Final Cut Pro|Video Editing|Sound Design|Sound Design,Design|Theater|Art|Film|Mobile Gaming,Bachelor's in Multimedia Design|Bachelor's in Engineering|Bachelor's in Music,Creative,78.0
Corporate Trainer,Mid,50000,75000,3,7,Transportation,Communication|Leadership|Organization|Adaptability|Empathy|Problem Solving,Model Training|Conversational AI|Risk Assessment|Web Development|UX Design|Strategic Planning,Education|Learning & Development|Workplace Training|Organizational Psychology|Adult Education,Bachelor's in Education|Bachelor's in Human Resources|Bachelor's in Communications,Business,79.0
Embedded Systems Engineer,Mid,60000,90000,3,7,Transportation,Problem Solving|Technical Understanding|Attention to Detail|Communication|Analytical Thinking|Adaptability,Programming|UI Design|Product Development|C++|Usability Testing|Prototyping,System Architecture|Computer Hardware|IoT|Software Development|Hardware Design,Bachelor's in Electrical Engineering|Bachelor's in Computer Engineering|Master's in Architecture,Technology,80.0
User Researcher,Mid,55000,85000,2,6,Transportation,Empathy|Communication|Research|Analytical Thinking|Attention to Detail|Problem Solving,User Research|Usability Testing|Database Design|Data Analysis|Recruiting|Product Development,User Experience|User Interface|Psychology|Design|Market Research,Bachelor's in Psychology|Master's in User Experience|Bachelor's in User Experience,Creative,81.0
AR/VR Designer,Mid,55000,85000,2,6,Transportation,Creativity|Technical Understanding|Problem Solving|Communication|Spatial Thinking|Attention to Detail,3D Modeling|Motion Graphics|UX Design|Solidity|Animation|UI Design,3D Graphics|Computer Vision|3D Design|User Experience|Interactive Design,Bachelor's in Industrial Design|Bachelor's in Game Development|Bachelor's in Interactive Media,Creative,83.0
Telecommunications Engineer,Mid,55000,85000,3,7,Transportation,Problem Solving|Technical Understanding|Communication|Attention to Detail|Analytical Thinking|Adaptability,Network Security|Digital Marketing|Salesforce|Network Security|Network Security|Usability Testing,Technical Communication|Network Engineering|Mobile Technology|IT Infrastructure|Technical Communication,Bachelor's in Network Engineering|Bachelor's in Electrical Engineering|Bachelor's in Computer Engineering,Technology,84.0
E-learning Developer,Mid,45000,70000,2,5,Transportation,Creativity|Technical Understanding|Communication|Attention to Detail|Problem Solving|Organization,UX Design|Web Development|HTML|CSS|JavaScript|Video Editing,E-Learning|Educational Technology|Online Education|Digital Media|Instructional Design,Bachelor's in Information Technology|Bachelor's in Product Design|Bachelor's in Computer Science,Creative,85.0
Tax Consultant,Mid,55000,85000,3,7,Transportation,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Organization|Research,Tax Preparation|Tax Preparation|Financial Analysis|Tax Preparation|Auditing|Employee Relations,Economics|Accounting|Financial Planning|Health Policy|Client Advisory,Bachelor's in Accounting|Bachelor's in Finance|Master's in Accounting,Business,86.0
Natural Language Processing Engineer,Senior,75000,115000,4,8,Transportation,Problem Solving|Analytical Thinking|Research|Communication|Technical Understanding|Attention to Detail|Creativity,Python|NLP|Machine Learning|Data Preprocessing|Model Training|Sentiment Analysis,Computational Linguistics|AI|Computational Linguistics|Machine Learning|Marketing Analytics,Master's in Linguistics|Bachelor's in Computer Science|PhD in Linguistics,Technology,87.0
Art Director,Senior,65000,95000,4,8,Transportation,Creativity|Leadership|Communication|Problem Solving|Attention to Detail|Decision Making|Vision,Adobe XD|Brand Development|Graphic Design|Illustration|Typography|Project Management,Art Direction|Brand Design|Visual Storytelling|Advertising|Creative Leadership,Bachelor's in Fine Arts|Bachelor's in Graphic Design|Master's in Architecture,Creative,88.0
Financial Analyst,Mid,55000,85000,2,6,Transportation,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Critical Thinking|Organization,Financial Analysis|Financial Modeling|Excel|Forecasting|Budgeting|Financial Reporting,Finance|Investment Analysis|Corporate Finance|Financial Planning|Market Analysis,Bachelor's in Finance|Bachelor's in Economics|Bachelor's in Accounting,Business,89.0
Augmented Reality Developer,Mid,60000,90000,2,6,Transportation,Creativity|Problem Solving|Technical Understanding|Communication|Spatial Thinking|Attention to Detail,Solidity|Trello|Trello|3D Modeling|Mobile Development|Computer Vision,Computer Vision|Mobile Technology|3D Graphics|User Experience|Computer Vision,Bachelor's in Computer Science|Bachelor's in Game Development|Bachelor's in Software Engineering,Technology,90.0
Technical Account Manager,Mid,55000,85000,3,7,Transportation,Communication|Relationship Building|Problem Solving|Technical Understanding|Empathy|Adaptability|Organization,Salesforce|Vendor Management|Product Development|Project Management|Continuous Deployment|Model Training,Client Relations|Technical Communication|Customer Experience|Product Management|Business Development,Bachelor's in Information Technology|Bachelor's in Business Administration|Bachelor's in Computer Science,Business,91.0
Data Engineer,Mid,65000,95000,3,7,Transportation,Problem Solving|Analytical Thinking|Technical Understanding|Communication|Attention to Detail|Organization,Data Preprocessing|ETL|SQL|Python|Big Data|Google Cloud,Data Science|Big Data|Database Systems|Cloud Computing|Data Architecture,Bachelor's in Computer Science|Bachelor's in Data Science|Master's in Data Science,Technology,92.0
User Experience Researcher,Mid,55000,85000,2,6,Transportation,Empathy|Research|Communication|Analytical Thinking|Attention to Detail|Problem Solving,User Research|Usability Testing|Database Design|Data Analysis|Recruiting|Product Development,User Experience|User Interface|Psychology|Research Methodology|Design,Master's in User Experience|Bachelor's in Psychology|Bachelor's in User Experience,Creative,93.0
Sustainability Manager,Senior,65000,95000,4,8,Transportation,Strategic Thinking|Communication|Problem Solving|Leadership|Research|Organization|Decision Making,Sustainability Planning|Environmental Management|Sustainability Planning|Regulatory Compliance|Stakeholder Management|SEM,Sustainability|Environmental Science|Corporate Social Responsibility|Business Strategy|Green Initiatives,Master's in Sustainability|Bachelor's in Environmental Science|Bachelor's in Business Administration,Business,94.0
Computer Vision Engineer,Senior,75000,115000,4,8,Transportation,Problem Solving|Analytical Thinking|Technical Understanding|Research|Communication|Attention to Detail|Critical Thinking,Computer Vision|Machine Learning|Python|Video Editing|Image Recognition|Neural Networks,Computer Vision|AI|Computer Vision|Machine Learning|Robotics,Master's in Machine Learning|Bachelor's in Computer Science|PhD in Computer Science,Technology,95.0
Social Media Content Creator,Junior,30000,50000,0,3,Transportation,Creativity|Communication|Social Media Savvy|Adaptability|Time Management|Attention to Detail,Content Creation|Social Media Marketing|Photography|Video Editing|Copywriting|Graphic Design,Technology|Digital Content|Marketing|Visual Art|Theater,Bachelor's in Digital Media|Bachelor's in Communications|Bachelor's in Marketing,Creative,96.0
Risk Manager,Senior,70000,100000,4,8,Transportation,Analytical Thinking|Decision Making|Communication|Problem Solving|Strategic Thinking|Attention to Detail|Critical Thinking,Risk Assessment|Risk Management|Regulatory Compliance|Financial Analysis|Statistical Analysis|Risk Management,Risk Management|Risk Management|Risk Management|Security|Business Strategy,Bachelor's in Management|Bachelor's in Finance|Master's in Business Administration,Business,97.0
Quantum Algorithm Developer,Senior,85000,130000,5,10,Transportation,Problem Solving|Analytical Thinking|Research|Technical Understanding|Communication|Creativity|Critical Thinking,Cryptography|AI Algorithms|C++|Solidity|Programming|Data Modeling,Quantum Computing|Algorithms|Theoretical Physics|Mathematics|Computational Science,PhD in Physics|PhD in Computer Science|Master's in Computational Science,Technology,98.0
Digital Product Designer,Mid,55000,85000,2,6,Transportation,Creativity|Problem Solving|Communication|Empathy|Attention to Detail|Adaptability,UI Design|UX Design|Figma|Prototyping|UX Design|User Research,Product Development|User Experience|Digital Content|Interactive Design|Visual Art,Bachelor's in Product Design|Bachelor's in Industrial Design|Bachelor's in User Experience,Creative,99.0
Innovation Manager,Senior,70000,105000,4,8,Transportation,Strategic Thinking|Creativity|Leadership|Communication|Problem Solving|Decision Making|Vision,Brand Development|UX Design|Product Development|Strategic Planning|Project Management|Market Analysis,Healthcare Innovation|Business Strategy|Product Development|Creative Leadership|Entrepreneurship,Master's in Management|Bachelor's in Business Administration|Bachelor's in Industrial Design,Business,100.0
Mobile Security Specialist,Mid,60000,90000,3,7,Transportation,Analytical Thinking|Problem Solving|Attention to Detail|Communication|Technical Understanding|Research,Authentication Systems|Usability Testing|Cryptography|Penetration Testing|Authentication Systems|Threat Intelligence,Security|Cybersecurity|Software Development|Data Protection|Security,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Master's in Cybersecurity,Technology,101.0
Motion Graphics Designer,Mid,45000,75000,2,5,Transportation,Creativity|Attention to Detail|Time Management|Communication|Problem Solving|Technical Understanding,After Effects|Motion Graphics|Animation|Typography|Storyboarding|Video Editing,Motion Graphics|Animation|Visual Effects|Film|Advertising,Bachelor's in Motion Graphics|Bachelor's in Digital Media|Bachelor's in Graphic Design,Creative,102.0
Business Development Manager,Senior,65000,100000,4,8,Transportation,Communication|Relationship Building|Strategic Thinking|Negotiation|Problem Solving|Persuasion|Leadership,Sales Techniques|CRM|Market Research|Contract Negotiation|Strategic Planning|Strategic Planning,Business Development|Sales Strategy|Strategic Partnerships|Market Expansion|Entrepreneurship,Bachelor's in Business Administration|Bachelor's in Marketing|Master's in Business Administration,Business,103.0
Bioinformatics Specialist,Senior,70000,110000,4,8,Transportation,Analytical Thinking|Problem Solving|Research|Communication|Attention to Detail|Technical Understanding|Creativity,Python|R|Data Analysis|Database Design|Data Mining|Statistical Analysis,Bioinformatics|Genomics|Computational Biology|Data Science|Medical Research,Master's in Biology|Bachelor's in Computer Science|PhD in Computational Science,Technology,104.0
Advertising Copywriter,Mid,40000,65000,2,5,Transportation,Creativity|Communication|Attention to Detail|Research|Adaptability|Time Management,Copywriting|Brand Messaging|Campaign Management|SEO|Content Marketing|Social Media Marketing,Advertising|Creative Writing|Brand Management|Marketing|Psychology,Bachelor's in Marketing|Bachelor's in English|Bachelor's in Communications,Creative,105.0
Operations Analyst,Mid,45000,70000,2,5,Transportation,Analytical Thinking|Problem Solving|Communication|Attention to Detail|Organization|Critical Thinking,Process Improvement|Data Analysis|Excel|Operations Management|Process Improvement|Statistical Analysis,Operations Management|Business Analysis|Process Optimization|Supply Chain|Supply Chain,Bachelor's in Business Administration|Bachelor's in Operations Management|Bachelor's in Industrial Design,Business,106.0
Firmware Engineer,Mid,60000,90000,3,7,Transportation,Problem Solving|Technical Understanding|Attention to Detail|Communication|Analytical Thinking|Critical Thinking,C++|Manufacturing Processes|Programming|Prototyping|Usability Testing|Marketo,Software Development|System Architecture|IoT|Programming|Hardware Design,Bachelor's in Electrical Engineering|Bachelor's in Computer Engineering|Master's in Architecture,Technology,107.0
Photographer,Mid,35000,60000,1,5,Transportation,Creativity|Communication|Attention to Detail|Technical Understanding|Time Management|Adaptability,Photography|Adobe Photoshop|Adobe Photoshop|Photography|Solidity|Photography,Photography|Visual Art|Photography|Photography|Photography,Bachelor's in Photography|Associate's in Photography|Bachelor's in Fine Arts,Creative,108.0
Procurement Specialist,Mid,45000,70000,2,5,Transportation,Negotiation|Communication|Analytical Thinking|Attention to Detail|Problem Solving|Organization,Vendor Management|Contract Negotiation|Supply Chain Management|Procurement|Budget Analysis|Inventory Management,Negotiation|Supply Chain|Client Relations|System Optimization|Operations Management,Bachelor's in Supply Chain Management|Bachelor's in Business Administration|Bachelor's in Supply Chain Management,Business,109.0
Quantum Cryptographer,Senior,80000,125000,5,9,Transportation,Problem Solving|Analytical Thinking|Research|Technical Understanding|Attention to Detail|Communication|Critical Thinking,Cryptography|Cryptography|Programming|Programming|Authentication Systems|Cryptography,Quantum Computing|Cybersecurity|Security|Information Security|Theoretical Physics,PhD in Computational Science|Master's in Computational Science|PhD in Physics,Technology,110.0
Fashion Designer,Mid,40000,70000,2,5,Transportation,Creativity|Attention to Detail|Communication|Problem Solving|Trend Awareness|Technical Understanding,Illustration|Programming|Merchandising|3D Modeling|Merchandising|Color Theory,Fashion|Fashion|Sustainable Fashion|Fashion|Fashion,Bachelor's in Fashion Design|Associate's in Graphic Design|Bachelor's in Fashion Design,Creative,111.0
Sales Operations Manager,Senior,65000,95000,4,8,Transportation,Leadership|Communication|Analytical Thinking|Problem Solving|Organization|Decision Making|Strategic Thinking,Sales Techniques|CRM|Supply Chain Management|Analytics|Forecasting|Project Management,Sales|Enterprise Analytics|Team Management|Business Operations|Process Optimization,Bachelor's in Business Administration|Bachelor's in Retail Management|Master's in Business Administration,Business,112.0
Penetration Tester,Mid,65000,95000,3,7,Transportation,Problem Solving|Technical Understanding|Attention to Detail|Communication|Analytical Thinking|Creativity,Ethical Hacking|Security Monitoring|Network Security|Vulnerability Assessment|Social Engineering|Malware Analysis,Cybersecurity|Security|Network Security|Information Security|Digital Forensics,Bachelor's in Cybersecurity|Bachelor's in Computer Science|Bachelor's in Information Security,Technology,113.0
Web Content Strategist,Mid,45000,70000,2,5,Transportation,Communication|Creativity|Strategic Thinking|Analytical Thinking|Organization|Attention to Detail,Content Creation|SEO|Web Analytics|CSS|Content Marketing|Data Analysis,Digital Content|Digital Transformation|Content Marketing|User Experience|Information Architecture,Bachelor's in Marketing|Bachelor's in Communications|Bachelor's in English,Creative,114.0
Compensation Analyst,Mid,50000,75000,2,5,Transportation,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Confidentiality|Organization,Urban Planning|Performance Management|Benefits Administration|HR Management|Statistical Analysis|Excel,Accounting|Human Resources|Medical Administration|Workforce Planning|Organizational Psychology,Bachelor's in Human Resources|Bachelor's in Business Administration|Bachelor's in Economics,Business,115.0
Wireless Network Engineer,Mid,55000,85000,3,7,Transportation,Problem Solving|Technical Understanding|Communication|Attention to Detail|Analytical Thinking|Adaptability,Network Security|Network Security|Urban Planning|Network Security|Usability Testing|Security Monitoring,Mobile Technology|Network Engineering|Technical Communication|Mobile Technology|IT Infrastructure,Bachelor's in Communications|Bachelor's in Network Engineering|Bachelor's in Electrical Engineering,Technology,116.0
Voice Actor,Mid,40000,70000,1,5,Transportation,Communication|Creativity|Adaptability|Performance|Attention to Detail|Time Management,Sound Design|Sound Design|Shell Scripting|Storyboarding|Video Editing|Typography,Film|Theater|Art|Animation|Mobile Gaming,Bachelor's in Theater Arts|Bachelor's in Music|Associate's in Culinary Arts,Creative,117.0
Banking Analyst,Mid,50000,80000,2,5,Transportation,Analytical Thinking|Attention to Detail|Communication|Problem Solving|Organization|Critical Thinking,Financial Analysis|Regulatory Compliance|Risk Assessment|Financial Modeling|Excel|Healthcare Software,Banking|Finance|Financial Markets|Risk Management|Investment Banking,Bachelor's in Finance|Bachelor's in Economics|Bachelor's in Finance,Business,118.0
Cryptocurrency Developer,Mid,65000,95000,2,6,Transportation,Problem Solving|Technical Understanding|Analytical Thinking|Research|Attention to Detail|Communication,Cryptography|Contract Negotiation|Cryptography|Solidity|Cryptography|JavaScript,Cryptocurrency|Blockchain Technology|Banking|Finance|Security,Bachelor's in Computer Science|Bachelor's in Software Engineering|Master's in Information Technology,Technology,119.0
Packaging Designer,Mid,40000,65000,2,5,Transportation,Creativity|Technical Understanding|Attention to Detail|Problem Solving|Communication|Sustainability Awareness,Layout Design|Adobe Illustrator|3D Modeling|Prototyping|Solidity|Brand Development,Design|Product Development|Sustainable Design|Brand Identity|Customer Experience,Bachelor's in Product Design|Bachelor's in Industrial Design|Bachelor's in Graphic Design,Creative,120.0
Benefits Coordinator,Mid,40000,65000,2,5,Transportation,Communication|Organization|Attention to Detail|Empathy|Problem Solving|Adaptability,Benefits Administration|HR Management|Employee Relations|Healthcare Software|Benefits Administration|Regulatory Compliance,Human Resources|Workplace Training|Medical Administration|Financial Planning|Human Resources,Bachelor's in Human Resources|Bachelor's in Business Administration|Associate's in Business Administration,Business,121.0
Quantum Machine Learning Engineer,Senior,85000,130000,4,8,Transportation,Problem Solving|Analytical Thinking|Research|Technical Understanding|Communication|Creativity|Critical Thinking,Cryptography|Machine Learning|Python|AI Algorithms|C++|Statistical Analysis,Quantum Computing|Machine Learning|AI|Theoretical Physics|Computational Science,PhD in Computational Science|Master's in Machine Learning|PhD in Physics,Technology,122.0
Storyboard Artist,Mid,45000,75000,2,5,Transportation,Creativity|Communication|Visual Storytelling|Attention to Detail|Time Management|Adaptability,Storyboarding|Sketch|Motion Graphics|Video Editing|Graphic Design|Urban Planning,Animation|Film|Visual Storytelling|Character Design|Film,Bachelor's in Animation|Bachelor's in Film Production|Bachelor's in Fine Arts,Creative,123.0
Franchise Development Manager,Senior,65000,95000,4,8,Transportation,Strategic Thinking|Communication|Relationship Building|Leadership|Negotiation|Problem Solving|Business Acumen,Retail Operations|Product Development|Contract Negotiation|Market Analysis|Strategic Planning|Sales Techniques,Team Management|Business Development|Sales Strategy|Entrepreneurship|Advertising,Bachelor's in Business Administration|Bachelor's in Management|Master's in Business Administration,Business,124.0
Quantum Physicist,Senior,75000,120000,5,10,Transportation,Analytical Thinking|Research|Problem Solving|Technical Understanding|Communication|Critical Thinking|Attention to Detail,Reinforcement Learning|Data Modeling|UX Design|Data Analysis|Programming|Reinforcement Learning,Quantum Physics|Theoretical Physics|Quantum Computing|Scientific Research|Physics,PhD in Physics|PhD in Physics|Master's in Physics,Technology,125.0
Podcast Producer,Mid,40000,65000,2,5,Transportation,Communication|Creativity|Organization|Technical Understanding|Adaptability|Problem Solving,Sound Design|Sound Design|Recruiting|Storyboarding|Content Creation|Statistical Analysis,Digital Media|Theater|Storytelling|Digital Media|Content Creation,Bachelor's in Music|Bachelor's in Communications|Bachelor's in Digital Media,Creative,126.0
Insurance Underwriter,Mid,50000,80000,2,6,Transportation,Analytical Thinking|Attention to Detail|Decision Making|Communication|Decision Making|Problem Solving,Risk Analysis|Risk Management|Copywriting|Financial Analysis|Strategic Planning|Regulatory Compliance,Healthcare|Risk Management|Financial Analysis|Material Science|Health Policy,Bachelor's in Finance|Bachelor's in Management|Bachelor's in Healthcare Management,Business,127.0
Deep Learning Engineer,Senior,75000,115000,4,8,Transportation,Problem Solving|Analytical Thinking|Research|Communication|Technical Understanding|Creativity|Attention to Detail,Neural Networks|TensorFlow|PyTorch|Deep Learning|Data Preprocessing|Model Training,Deep Learning|AI|Neural Networks|Computer Vision|Computational Linguistics,Master's in Machine Learning|Bachelor's in Computer Science|PhD in Artificial Intelligence,Technology,128.0
Exhibition Designer,Mid,45000,70000,2,5,Transportation,Creativity|Communication|Technical Understanding|Attention to Detail|Problem Solving|Spatial Thinking,UX Design|3D Modeling|Urban Planning|UI Design|UI Design|Sketch,Design|Art|Interactive Design|Design|Visual Storytelling,Bachelor's in Product Design|Bachelor's in Architecture|Bachelor's in Interior Design,Creative,129.0
Commercial Real Estate Analyst,Mid,55000,85000,3,7,Transportation,Analytical Thinking|Communication|Research|Problem Solving|Attention to Detail|Negotiation|Critical Thinking,Real Estate Valuation|Financial Modeling|Market Analysis|Property Management|Retail Operations|Budgeting,Advertising|Investment|Market Analysis|Business Planning|Financial Analysis,Bachelor's in Real Estate|Bachelor's in Finance|Master's in Real Estate,Business,130.0
Nanotechnology Engineer,Senior,75000,115000,4,8,Transportation,Problem Solving|Analytical Thinking|Research|Technical Understanding|Attention to Detail|Communication|Creativity,React|Image Recognition|Solidity|Animation|Manufacturing Processes|Prototyping,Nanotechnology|Material Science|Network Engineering|Quantum Physics|Biotechnology,PhD in Chemistry|Master's in Chemistry|Bachelor's in Physics,Technology,131.0
Book Editor,Mid,45000,70000,2,6,Transportation,Communication|Attention to Detail|Organization|Critical Thinking|Creativity|Problem Solving,Video Editing|Copywriting|Copywriting|Copywriting|CSS|Employee Relations,Publishing|Creative Writing|Creative Writing|Film|Publishing,Bachelor's in English|Master's in Management|Bachelor's in Communications,Creative,132.0
Quantum Network Engineer,Senior,80000,120000,4,8,Transportation,Problem Solving|Technical Understanding|Analytical Thinking|Research|Communication|Attention to Detail|Critical Thinking,Cryptography|Architecture|Cryptography|Photography|Cryptography|Neural Networks,Quantum Computing|Quantum Computing|Network Engineering|Quantum Computing|Information Security,PhD in Physics|Bachelor's in Network Engineering|PhD in Computer Science,Technology,134.0
Set Designer,Mid,40000,70000,2,5,Transportation,Creativity|Technical Understanding|Attention to Detail|Communication|Problem Solving|Spatial Thinking,UI Design|Sketch|Sketch|Model Training|Construction Management|UX Design,Theater|Film|Design|System Architecture|Visual Storytelling,Bachelor's in Industrial Design|Bachelor's in Theater Arts|Bachelor's in Architecture,Creative,135.0
Patent Analyst,Mid,55000,85000,3,7,Transportation,Analytical Thinking|Attention to Detail|Research|Communication|Technical Understanding|Problem Solving,Legal Research|Business Analysis|Typography|Legal Research|Digital Forensics|Data Mining,Technology|Product Development|Technology|Product Management|Research,Bachelor's in Engineering|Master's in Information Technology|Bachelor's in Law,Business,136.0
Edge Computing Engineer,Mid,65000,95000,3,7,Transportation,Problem Solving|Technical Understanding|Communication|Analytical Thinking|Adaptability|Attention to Detail,Architecture|Big Data|Authentication Systems|Google Cloud|Network Security|Architecture,Edge Computing|IoT|Cloud Computing|Distributed Systems|Network Architecture,Bachelor's in Computer Engineering|Bachelor's in Computer Science|Master's in Management,Technology,137.0
Textile Designer,Mid,40000,65000,2,5,Transportation,Creativity|Attention to Detail|Technical Understanding|Problem Solving|Communication|Trend Awareness,Graphic Design|Feature Engineering|Color Theory|Solidity|3D Modeling|Sketch,Sustainable Fashion|Material Science|Fashion|3D Design|Sustainable Fashion,Bachelor's in Fashion Design|Bachelor's in Fashion Design|Bachelor's in Fine Arts,Creative,138.0
Actuary,Senior,70000,110000,4,8,Transportation,Analytical Thinking|Problem Solving|Communication|Attention to Detail|Mathematical Aptitude|Critical Thinking|Technical Understanding,Statistical Analysis|Risk Assessment|Healthcare Software|Financial Modeling|Statistical Analysis|Data Analysis,Material Science|Risk Management|Healthcare|Finance|Statistics,Bachelor's in Materials Science|Bachelor's in Mathematics|Master's in Statistics,Business,139.0
Robotics Software Engineer,Senior,75000,115000,4,8,Transportation,Problem Solving|Technical Understanding|Analytical Thinking|Communication|Attention to Detail|Creativity|Research,Programming|Ruby|C++|Computer Vision|Machine Learning|Reinforcement Learning,Robotics|AI|Software Systems|Automation|Computer Vision,Master's in Artificial Intelligence|Bachelor's in Computer Science|Bachelor's in Mechanical Engineering,Technology,140.0
Commercial Photographer,Mid,40000,65000,2,6,Transportation,Creativity|Communication|Attention to Detail|Technical Understanding|Problem Solving|Adaptability,Photography|Adobe Photoshop|Adobe Photoshop|Photography|Photography|Photography,Photography|Visual Art|Advertising|Branding|Digital Media,Bachelor's in Photography|Associate's in Photography|Bachelor's in Fine Arts,Creative,141.0
Computational Linguist,Senior,70000,105000,4,8,Transportation,Analytical Thinking|Problem Solving|Research|Communication|Technical Understanding|Attention to Detail|Critical Thinking,Natural Language Processing|Data Modeling|Machine Learning|NLP|Python|Analytics,Computational Linguistics|Computational Linguistics|AI|Computational Linguistics|Technology,PhD in Linguistics|Master's in Linguistics|Master's in Computer Science,Technology,143.0
Visual Merchandiser,Mid,35000,55000,1,4,Transportation,Creativity|Attention to Detail|Communication|Problem Solving|Trend Awareness|Spatial Thinking,Graphic Design|Urban Planning|Retail Operations|Brand Development|Photography|UI Design,Visual Art|Design|Fashion|Brand Management|Psychology,Bachelor's in Fashion Merchandising|Associate's in Graphic Design|Bachelor's in Fashion Merchandising,Creative,144.0
Financial Controller,Senior,70000,105000,4,8,Transportation,Analytical Thinking|Attention to Detail|Leadership|Communication|Problem Solving|Decision Making|Organization,Financial Reporting|Accounting|Budgeting|Auditing|Financial Analysis|Operations Management,Financial Planning|Accounting|Corporate Finance|Health Policy|Business Strategy,Bachelor's in Accounting|Master's in Finance|Certificate in Digital Marketing,Business,145.0
High Performance Computing Specialist,Senior,75000,115000,4,8,Transportation,Problem Solving|Technical Understanding|Analytical Thinking|Communication|Attention to Detail|Research|Critical Thinking,Programming|Authentication Systems|C++|Kanban|Performance Management|Architecture,Scientific Computing|Scientific Computing|Computer Architecture|Programming|Research Computing,Master's in Computer Science|PhD in Computational Science|Bachelor's in Computer Engineering,Technology,146.0
UX Writer,Mid,45000,70000,2,5,Transportation,Communication|Creativity|Empathy|Attention to Detail|Problem Solving|Research,UX Design|Microservices|Content Marketing|Architecture|User Research|CSS,User Experience|Design|Technical Communication|Digital Content|Information Design,Bachelor's in English|Bachelor's in Communications|Bachelor's in Industrial Design,Creative,147.0
Merchandising Planner,Mid,45000,70000,2,5,Transportation,Analytical Thinking|Communication|Attention to Detail|Problem Solving|Organization|Strategic Thinking,Retail Operations|Inventory Management|Retail Operations|Forecasting|Excel|Retail Operations,Sales|Business Planning|Sales|Fashion|Business Planning,Bachelor's in Retail Management|Bachelor's in Fashion Merchandising|Bachelor's in Business Administration,Business,148.0
